tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NCS000ETT16000005,2016-04-20,"INVITATION TO TENDER FOR COMMUNITY CHEST DIGITAL MARKETING CAMPAIGN (Comchest, Charlynn)",National Council of Social Service,254800,Awarded to Suppliers,DSTNCT PTE. LTD.
NCS000ETT16000006,2016-05-26,"INVITATION TO TENDER FOR DIAGNOSTIC CONSULTANCY SERVICES IN HUMAN RESOURCE CAPABILITY FOR SOCIAL SERVICE SECTOR (SMPD, Grace)",National Council of Social Service,720001,Awarded to Suppliers,AON HEWITT SINGAPORE PTE. LTD.
NCS000ETT16000007,2016-05-23,"INVITATION TO TENDER FOR AUDIT SERVICES TO DIGITAL INCLUSION FUND (Funding Policy, Weiting)",National Council of Social Service,67900,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP
NCS000ETT16000009,2016-05-31,"INVITATION TO TENDER FOR MEDIA MONITORING AND ANALYSIS SERVICES FOR NATIONAL COUNCIL OF SOCIAL SERVICE FOR A PERIOD OF ONE (1) YEAR AND WITH THE OPTION TO RENEW FOR ANOTHER ONE (1) YEAR (CCD, Swee San)",National Council of Social Service,58000,Awarded to Suppliers,NEWS SEARCH (SINGAPORE) PTE. LTD.
NCS000ETT16000010,2016-06-16,"INVITATION TO TENDER FOR CREATIVE SERVICES TO DEVELOP AND IMPLEMENT THE 2016 PRESIDENT'S CHALLENGE CAMPAIGN (Corp Comm, Cindy)",National Council of Social Service,41000,Awarded to Suppliers,STARLIGHT ADVERTISING (PTE) LTD.
NCS000ETT16000011,2016-05-27,"INVITATION TO TENDER FOR LEGAL COUNSEL TO PROVIDE LEGAL SERVICES TO NATIONAL COUNCIL OF SOCIAL SERVICE (NCSS) (Finance, Anitha)",National Council of Social Service,180000,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP
NCS000ETT16000012,2016-06-03,"INVITATION TO TENDER FOR THE PRINTING, PACKING AND DELIVERY OF CUSTOMISED ENVELOPES AND SHARITY COLLATERALS (Comchest, Nor)",National Council of Social Service,56300,Awarded to Suppliers,LATITUDE EXPERIENCE PTE. LIMITED
NCS000ETT16000015,2016-06-14,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE 2B)(AMG, Jazel)",National Council of Social Service,527000,Awarded to Suppliers,EMPACT PTE. LTD.
NCS000ETT16000016,2016-07-20,"INVITATION TO TENDER FOR CONCEPTUALISATION, PRODUCTION AND MANAGEMENT OF SHARITY CARE & SHARE INTERACTIVE MUSICAL AND TOURING SHOWS (Comchest, Cheryl)",National Council of Social Service,85400,Awarded to Suppliers,ARTISTIC EXPRESSIONS PRIVATE LIMITED
NCS000ETT16000017,2016-07-27,"INVITATION TO TENDER FOR E-JOURNAL DATABASE (AMG, Vanessa)",National Council of Social Service,142983.29,Awarded to Suppliers,PROQUEST LLC
