company_name,uen_no,workhead,grade,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
9G ELEVATOR PTE. LTD.,200309087N,RW02,Single Grade,na,1/11/2018,8,Kallang Avenue,#07-01,Aperia Tower 1,339509,62837530
9G ELEVATOR PTE. LTD.,200309087N,RW03,Single Grade,na,1/11/2018,8,Kallang Avenue,#07-01,Aperia Tower 1,339509,62837530
9PINE PRIVATE LIMITED,201307796K,CW01,C3,na,1/5/2019,630,SENJA ROAD,#27-208,na,670630,66507241
9PINE PRIVATE LIMITED,201307796K,CW02,C2,na,1/5/2019,630,SENJA ROAD,#27-208,na,670630,66507241
9SQUARE SOLUTIONS PTE LTD,201019257W,ME06,L1,na,1/6/2019,1,YISHUN STREET 23,#04-29,YS-ONE,768441,68518801
A & A CONSTRUCTION & ENGINEERING PTE. LTD.,200713458Z,CW01,C3,na,1/10/2019,2030,BUKIT BATOK STREET 23,#01-292,na,659535,62679768
A & A CONSTRUCTION & ENGINEERING PTE. LTD.,200713458Z,CR01,Single Grade,na,1/10/2019,2030,BUKIT BATOK STREET 23,#01-292,na,659535,62679768
A & B LANDSCAPE & CONSTRUCTION,52996615L,MW03,L1,na,1/8/2017,315,UBI AVENUE 1,#02-391,na,400315,62960092
A & B SCAFFOLD ENGINEERING PTE LTD,200908944G,SY10,L1,na,1/2/2017,1,SOON LEE STREET,#02-26,PIONEER CENTRE,627605,62729787
A & F CONCEPTS PTE LTD,200008861M,CW01,C2,na,1/4/2019,20,Woodlands Link,#04-05,na,738733,63683133
A & F CONCEPTS PTE LTD,200008861M,CR06,L2,na,1/4/2019,20,Woodlands Link,#04-05,na,738733,63683133
A & H CONTROLS (PTE. LTD.),201417193M,ME02,L1,na,1/10/2018,21,WOODLANDS CLOSE,#06-30,PRIMZ BIZHUB,737854,68155361
A & L COMPUTER SERVICES PTE LTD,199602500K,ME04,L3,na,1/9/2017,1093,LOWER DELTA ROAD,#07-06,na,169204,62730817
A & L COMPUTER SERVICES PTE LTD,199602500K,ME08,L3,na,1/9/2017,1093,LOWER DELTA ROAD,#07-06,na,169204,62730817
A & P MAINTENANCE SERVICES PTE LTD,198303915R,MW02,L5,na,1/4/2017,50,GENTING LANE,#04-01,CIDECO INDUSTRIAL COMPLEX,349558,67473538
A & P MAINTENANCE SERVICES PTE LTD,198303915R,CR01,Single Grade,na,1/4/2017,50,GENTING LANE,#04-01,CIDECO INDUSTRIAL COMPLEX,349558,67473538
A & R CONSTRUCTION & ENGINEERING,53217582D,TR10,Single Grade,na,1/1/2019,38,WOODLANDS INDUSTRIAL PARK E1,#02-07,na,757700,83993791
A & T WOODWORK & CONSTRUCTION PTE. LTD.,200205075K,CR18,Single Grade,na,1/7/2018,4,SUNGEI KADUT CRESCENT,na,na,728688,63653001
A ACME DESIGN,52864343J,RW01,Single Grade,na,1/3/2017,298,BALESTIER ROAD,na,na,329736,98733232
A ART ALUMINIUM,52915005X,RW01,Single Grade,na,1/7/2017,1030,EUNOS AVENUE 6,#01-50,na,409625,67473878
A DELI CONSTRUCTION PTE. LTD.,201503727N,CW01,C3,na,1/3/2018,41,KALLANG PUDDING ROAD,#03-05,GOLDEN WHEEL BUILDING,349316,64435020
A DELI CONSTRUCTION PTE. LTD.,201503727N,CR01,Single Grade,na,1/3/2018,41,KALLANG PUDDING ROAD,#03-05,GOLDEN WHEEL BUILDING,349316,64435020
A I ASSOCIATES PTE. LTD.,200407993E,CR06,L3,na,1/9/2018,2,SIMS CLOSE ,#07-02,GEMINI@SIMS,387298,66597688
A K MIXED CONSTRUCTION PTE. LTD.,200810538D,CR01,Single Grade,na,1/6/2017,116,Lavender Street,#04-15,Pek Chuan Building,338730,63925830
A K OIL & GAS ENGINEERING PTE. LTD.,201006909K,CR01,Single Grade,na,1/5/2019,116,LAVENDER STREET ,#04-15,PEK CHUAN BUILDLING,338730,63925830
A N R CONSTRUCTION & ENGINEERING PTE LTD,201420815W,CW01,C3,na,1/5/2018,38,WOODLANDS INDUSTRIAL PARK E1,#02-07,na,757700,97660345
A N R CONSTRUCTION & ENGINEERING PTE LTD,201420815W,TR10,Single Grade,na,1/5/2018,38,WOODLANDS INDUSTRIAL PARK E1,#02-07,na,757700,97660345
A N S PLUMBING & SANITARY PTE LTD,199506588C,CW02,C3,na,1/6/2017,49,Ubi Crescent,na,Ubi Techpark,408592,67424826
A N S PLUMBING & SANITARY PTE LTD,199506588C,ME12,L5,na,1/6/2017,49,Ubi Crescent,na,Ubi Techpark,408592,67424826
A P TRADING LLP,T11LL0966F,RW01,Single Grade,na,1/7/2018,10,ADMIRALTY STREET,#04-83,NORTHLINK BUILDING,757695,65523645
A PLUS ENGRG & SERVICES PTE LTD,201309177C,ME01,L2,na,1/5/2017,421,TAGORE INDUSTRIAL AVENUE,#02-20,TAGORE 8,787805,68930245
A S ELECTRICAL PTE. LTD.,201015143C,ME01,L1,na,1/9/2018,848,JURONG WEST STREET 81,#05-253,na,640848,91017050
A SHINE INT'L TDG & CONT & DECO PTE. LTD.,200721242W,CR01,Single Grade,na,1/4/2017,511,GUILEMARD ROAD,#02-29,GRANDLINKSQUARE,399849,67431875
A STAR TECHNICAL SERVICES PTE. LTD.,201306780R,ME11,L1,na,1/10/2017,30,TUAS VIEW PLACE,na,na,637876,62616162
A TEAM LANDSCAPE CONSTRUCTOR PTE. LTD.,201101215Z,MW03,L4,na,1/4/2018,23,TU FU AVENUE,na,na,787230,98175912
A&H BROTHERS,53236610K,CR16,L1,na,1/6/2019,10,ADMIRALTY STREET,#02-37,NORTHLINK BUILDING,757695,92226430
A&K TECHNICAL HUMAN RESOURCE PTE LTD,201542174N,CR01,Single Grade,na,1/2/2019,99,EAST COAST ROAD,na,na,428795,91295377
A&L POOL SERVICES PTE. LTD.,201211879H,ME11,L1,na,1/10/2018,1,JALAN SENANG CRESCENT,#03-01,FG BUILDING,416575,97655762
A&V ALUMINIUM CONTRACTOR,53174657K,RW01,Single Grade,na,1/12/2017,354,HOUGANG AVENUE 7,#02-715,na,530354,91008767
A&V ENGINEERING PTE. LTD.,201102613M,ME01,L1,na,1/12/2017,20,ANG MO KIO INDUSTRIAL PARK 2A,#05-30,AMK TECH LINK,567761,93658826
A'CREATIVE PLUMBING & ENGRG (S) PTE LTD,199803084G,ME12,L1,na,1/4/2018,280,CHOA CHU KANG AVENUE 3,#08-358,na,680280,67668252
A'S DESIGN & DECO PTE. LTD.,200709244N,ME12,L1,na,1/11/2017,10,ADMIRALTY STREET,#04-31,NORTH LINK BUILDING,757695,67537370
A'S M & E PTE. LTD.,200606757Z,ME12,L5,na,1/6/2018,10,ADMIRALTY STREET,#04-31,NORTH LINK BUILDING,757695,67537370
A-1 INSPECTION (S) PTE. LTD.,200907338N,ME11,L1,na,1/11/2017,53,TUAS SOUTH AVENUE 1,na,TUAS COVE INDUSTRIAL CENTRE,637606,67910123
A-1 INSPECTION (S) PTE. LTD.,200907338N,CR01,Single Grade,na,1/11/2017,53,TUAS SOUTH AVENUE 1,na,TUAS COVE INDUSTRIAL CENTRE,637606,67910123
A-FORCE BUILDERS PTE LTD,201406486C,CR01,Single Grade,na,1/6/2017,317,OUTRAM ROAD,#02-05,CONCORDE SHOPPING CENTRE,169075,67338311
A-FORCE MAINTENANCE PTE. LTD.,201102791G,MW02,L5,na,1/10/2018,317,OUTRAM ROAD,#02-06,CONCORDE SHOPPING CENTRE,169075,67332818
A-ONE AIR-CONDITIONING PTE LTD,199202946K,ME01,L3,na,1/8/2018,25,WOODLANDS INDUSTRIAL PARK E1,#05-04,na,757743,63626166
A-POWER ENGINEERING PTE LTD,199904271K,ME01,L5,na,1/5/2018,51,BUKIT BATOK CRESCENT,#06-28,UNITY CENTRE,658077,67651378
A-POWER ENGINEERING PTE LTD,199904271K,ME02,L1,na,1/5/2018,51,BUKIT BATOK CRESCENT,#06-28,UNITY CENTRE,658077,67651378
A-POWER ENGINEERING PTE LTD,199904271K,ME05,L6,na,1/5/2018,51,BUKIT BATOK CRESCENT,#06-28,UNITY CENTRE,658077,67651378
A-POWER ENGINEERING PTE LTD,199904271K,ME06,L3,na,1/5/2018,51,BUKIT BATOK CRESCENT,#06-28,UNITY CENTRE,658077,67651378
A-TECH SECURITY & ENGINEERING PTE LTD,199307105W,ME04,L1,na,1/3/2019,50,BUKIT BATOK STREET 23,#05-07,MIDVIEW BUILDING,659578,65621963
A. K. ONG ENGINEERING PTE LTD,199908085D,ME01,L3,na,1/8/2018,65,SIMS AVENUE,#01-09,YU XIU FACTORY BUILDING,387418,68461611
A. S.  PHOON PTE.  LTD.,197701213H,SY08,L1,na,1/10/2017,399,Changi Road,na,na,419846,67470770
A.A. METAL WORKS PTE. LTD.,200308832R,RW01,Single Grade,na,1/4/2019,32,OLD TOH TUCK ROAD,#05-06,I.BIZ CENTRE,597658,68966691
A.A.ART GLASS INDUSTRIES,52974480E,RW01,Single Grade,na,1/4/2018,32,OLD TOH TUCK ROAD,#05-06,I.BIZ CENTRE,597658,68966691
A.I.M. CHEMICAL INDUSTRIES PTE LTD,197600681N,SY02,L3,na,1/3/2018,19,TRACTOR ROAD,na,na,627977,62654700
A.K.K. TH3X (S) PTE. LTD.,201508045W,CR01,Single Grade,na,1/10/2019,18,BOON LAY WAY,#07-93,TRADEHUB 21,609966,98711456
A.M. GOH  SANITARY & PLUMBING CONTRACTOR,45549600E,ME12,L1,na,1/3/2019,361,WOODLANDS AVENUE 5,#12-432,na,730361,63668806
A1 BUILDER & ENGINEERING PTE. LTD.,201108006D,CW01,C3,na,1/6/2017,27,UBI ROAD 4,#01-01,na,408618,68419150
A1 SUPERHEROES PTE. LTD.,201508143K,ME04,L1,na,1/4/2018,11,WOODLANDS CLOSE,#09-23 ,WOODLANDS 11,737853,90217745
A2 ENGINEERING PTE LTD,201330588K,ME04,L1,na,1/8/2017,2,KALLANG PUDDING ROAD,#07-05,MACTECH INDUSTRIAL BUILDING,349307,96389196
A3K ENGINEERING & SERVICES PTE. LTD.,201612352E,MW02,L1,na,1/7/2019,57,HAVELOCK ROAD,#29-156,na,161057,90492177
AAA INTEGRATE PTE. LTD.,201015470K,ME01,L1,na,1/1/2017,1,TOH TUCK LINK,#03-00,na,596222,67639981
AADITHYA BUILDER PTE. LTD.,201500680K,CR01,Single Grade,na,1/5/2018,9,TUAS AVENUE 8,#01-01,na,639224,68632575
AAF SINGAPORE  PTE. LTD.,197200777G,ME01,L1,na,1/1/2018,521,BUKIT BATOK STREET 23,#04-01,na,659544,68970383
AAF SINGAPORE  PTE. LTD.,197200777G,SY09,L3,na,1/1/2018,521,BUKIT BATOK STREET 23,#04-01,na,659544,68970383
AAL ENGINEERING PTE. LTD.,201101863H,ME12,L3,na,1/7/2017,1,COMMONWEALTH LANE,#07-01,ONE COMMONWEALTH,149544,62768208
AALLIANZ PTE. LTD.,200702271E,CW01,C3,na,1/5/2018,61,WOODLAND INDUSTRIAL PARK E9,#06-21,na,757047,63144031
AALLIANZ PTE. LTD.,200702271E,CR16,L1,na,1/5/2018,61,WOODLAND INDUSTRIAL PARK E9,#06-21,na,757047,63144031
AAQ,53245607J,CR01,Single Grade,na,1/4/2018,17,KIM KEAT LANE,na,na,328875,65556543
AARDWOLF PESTKARE (SINGAPORE) PTE LTD,199700791R,MW04,L1,na,1/9/2018,26,THIRD LOK YANG ROAD,na,na,628015,62681771
AARON LYM TRADING CO,28797000X,ME08,L1,na,1/11/2017,437,Ang Mo Kio Avenue 10 Street 42,#12-1365,na,560437,64589292
AARON LYM TRADING CO,28797000X,ME10,L1,na,1/11/2017,437,Ang Mo Kio Avenue 10 Street 42,#12-1365,na,560437,64589292
AARON WILLS BUILDERS PTE. LTD.,201628057M,CR06,L1,na,1/12/2019,15,YISHUN INDUSTRIAL STREET 1,#01-08,WIN 5,768091,67349518
AARU ENGINEERING & SERVICES PTE LTD,201407148E,ME02,L1,na,1/3/2018,30,RAFFLES PLACE,#23-66,CHEVRON HOUSE,48622,62336833
AARU ENGINEERING & SERVICES PTE LTD,201407148E,CR01,Single Grade,na,1/3/2018,30,RAFFLES PLACE,#23-66,CHEVRON HOUSE,48622,62336833
AASHISH STEEL ENGINEERING PTE. LTD.,201508881C,TR10,Single Grade,na,1/8/2018,716,JURONG WEST STREET 71,#02-69,na,640716,82207626
